"AGS5","krs_WZ_gesamt","krs_homeoffice_WZ","krsanteil_homeoffice_WZ","krs_KldB_gesamt","krs_homeoffice_KldB","krsanteil_homeoffice_KldB"
9475,36558,19041.275390625,0.52085112398449,36558,18756.810546875,0.513069931256497
9476,25860,13485.98828125,0.52149993353635,25850,12546.0224609375,0.485339360191006
9477,28211,14751.94140625,0.522914515836021,28148,14707.162109375,0.522494035433246
9478,29086,15176.3974609375,0.521776712539968,28666,14511.80859375,0.506237654146027
9479,30108,16007.5361328125,0.531670523874469,29901,15404.85546875,0.515195326870339
9561,28022,15537.595703125,0.554478470598994,27929,15428.271484375,0.552410450942569
9562,91862,55938.71484375,0.60894292355653,91436,61649.03125,0.674231497987663
9563,49121,27720.291015625,0.564326683406791,49120,28155.39453125,0.573196142737174
9564,315688,184962.34375,0.585902358499531,314692,190991.234375,0.606914806779327
9565,17191,9584.0712890625,0.557505164857338,16974,9102.125,0.536239248262048
9571,63021,32602.560546875,0.517328518222101,63005,30379.154296875,0.482170530860646
9572,53264,30444.912109375,0.571585162762372,52800,30382.138671875,0.575419293027936
9573,25603,13729.9755859375,0.536264327849764,25603,13391.5078125,0.523044479650822
9574,56121,30007.115234375,0.534686039706616,55622,29213.64453125,0.525217441502463
9575,33969,17969.365234375,0.528993059388707,33870,16995.775390625,0.501794372324328
9576,40611,21170.138671875,0.521290750581739,40140,20540.94140625,0.511732471505979
9577,33018,17189.2578125,0.520602635304985,32765,16092.626953125,0.491152966675568
9661,47445,26333.755859375,0.555037535238171,46739,25889.900390625,0.553924996055221
9662,54003,29615.642578125,0.548407358445364,53979,28506.927734375,0.52811144582847
9663,92252,53189.81640625,0.576570875495924,91825,54500.85546875,0.593529599441873
9671,53652,29173.318359375,0.543750808159528,53652,28633.833984375,0.533695556258387
9672,35524,18447.99609375,0.519310778452595,35263,17244.66015625,0.489029865758727
9673,33248,17570.9921875,0.5284826812891,33229,17210.04296875,0.51792238613109
9674,28680,15074.4111328125,0.525607082734048,28661,14652.33984375,0.51122919101741
9675,34301,18256.69921875,0.532249765859596,34301,17868.25,0.520925045917029
9676,44452,24176.578125,0.54388054811932,44452,23595.611328125,0.530811017009921
9677,48163,25370.904296875,0.526771677363848,48164,25788.25390625,0.535425917827631
9678,26796,13937.1767578125,0.520121538954042,26759,13192.3876953125,0.493007500105105
9679,40202,22247.23046875,0.553386161602657,40178,22095.0078125,0.549928015642889
9761,147680,84048.2734375,0.569124278422941,147526,86340.9375,0.585259123815463
9762,19407,10262.0673828125,0.528781747967872,18999,9828.556640625,0.517319682121427
9763,37510,20893.626953125,0.557014848123834,37449,21194.90234375,0.565967111104435
9764,31214,16800.578125,0.538238550810534,30821,15900.0322265625,0.515883074091123
9771,36951,19556.193359375,0.529246660695922,36952,19054.802734375,0.515663637539917
9772,78656,41339.59765625,0.525574624392926,78656,39391.19921875,0.500803488847005
9773,34747,18124.55859375,0.52161506299105,34515,17759.57421875,0.514546551318267
9774,54183,28056.7421875,0.517814484017127,53478,27295.841796875,0.510412539677531
9775,66927,35408.8046875,0.529066067319617,66758,34547.94140625,0.517510132212619
9776,32920,17689.4609375,0.537346930057716,32699,17527.48046875,0.536024969226888
9777,49871,25778.98046875,0.516913245548515,49688,24715.54296875,0.497414727273185
9778,52697,27410.388671875,0.520150837274892,52315,26627.53125,0.508984636337571
9779,63184,34181.1328125,0.540977665429539,62685,33283.8359375,0.530969704674164
9780,55611,29829.314453125,0.536392340600331,55611,28239.556640625,0.507805229911798
10041,153945,87487.875,0.568306050862321,152746,86004.3046875,0.563054382356985
10042,31809,16788.404296875,0.527787868115156,31800,16410.353515625,0.51604885269261
10043,39722,20964.6171875,0.527783525187553,39523,19618.94921875,0.496393219612631
10044,72163,37303.61328125,0.516935455583194,71683,34778.84765625,0.48517567144581
10045,66416,35898.99609375,0.540517286403126,66163,33747.2109375,0.510061680055318
10046,27670,14574.111328125,0.526711649010661,27670,13982.544921875,0.505332306536863
11000,1539593,900736.5625,0.585048491711771,1533659,940667.3125,0.613348412195931
12051,30022,16085.59375,0.535793543068417,28970,15053.2021484375,0.519613467326113
12052,47410,26240.10546875,0.553471956733811,47407,27275.294921875,0.575343196613897
12053,28848,16105.396484375,0.558284681238734,28371,16217.4462890625,0.571620538192609
12054,86943,52156.32421875,0.599891011567924,86523,53963.84375,0.623693627705928
12060,50983,26617.97265625,0.522095064163545,50504,25071.162109375,0.496419335287799
12061,60647,30825.611328125,0.508279244284548,60608,29618.359375,0.488687291694166
